               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053962,            0.020492,            0.038532,             0.57611,             0.29167,             0.14661,             0.05734,            0.041273,            0.014363,            0.028619,            0.008845,            0.008845,            0.008845
                  37,            0.053307,            0.019066,            0.038171,            0.032718,               0.325,            0.082916,            0.018285,            0.047749,            0.014486,            0.027859,            0.008812,            0.008812,            0.008812
                  38,            0.052499,            0.019216,             0.03937,             0.59411,               0.325,             0.12159,            0.039321,            0.051589,            0.034128,            0.030762,            0.008779,            0.008779,            0.008779
                  39,            0.048333,            0.018739,            0.038016,             0.77399,             0.20833,             0.16156,            0.045943,             0.04068,            0.030561,            0.027383,            0.008746,            0.008746,            0.008746
                  40,            0.050668,            0.018934,             0.03749,              0.7625,             0.20833,             0.19977,            0.062677,            0.039735,            0.029565,            0.026587,            0.008713,            0.008713,            0.008713
                  41,            0.050642,            0.021222,            0.037314,             0.10598,             0.39167,             0.18711,            0.055035,            0.045737,            0.010092,            0.023181,             0.00868,             0.00868,             0.00868
                  42,            0.053779,            0.017757,            0.038194,             0.91201,             0.16667,             0.12125,            0.029742,            0.046485,           0.0096352,            0.025854,            0.008647,            0.008647,            0.008647
                  43,            0.053279,            0.018387,            0.038276,             0.93567,             0.16667,              0.1312,            0.021756,             0.04457,            0.010132,            0.026614,            0.008614,            0.008614,            0.008614
                  44,            0.048503,            0.015557,            0.033909,             0.94359,             0.16345,             0.14993,            0.037022,            0.044552,            0.010299,            0.026852,            0.008581,            0.008581,            0.008581
                  45,             0.05223,            0.018019,            0.037092,             0.91141,            0.075449,            0.069986,            0.015191,            0.047917,           0.0097415,            0.026843,            0.008548,            0.008548,            0.008548
                  46,            0.049013,             0.01731,            0.036612,             0.90916,               0.125,            0.087477,            0.018351,            0.048587,            0.010429,            0.026486,            0.008515,            0.008515,            0.008515
                  47,            0.051354,            0.017166,            0.036004,             0.74013,             0.16667,              0.1211,            0.035918,            0.048782,            0.009783,            0.025708,            0.008482,            0.008482,            0.008482
                  48,            0.050461,            0.019534,            0.034548,             0.75168,               0.125,             0.16074,            0.041754,            0.046777,           0.0098041,            0.025259,            0.008449,            0.008449,            0.008449
